idPNMain,PNG,Name,RAJ2000,DECJ2000,MajDiam,MinDiam
374,034.1-10.5,"HaWe 13",19:31:07.2,-03:42:31.50,86.0,72.0
377,034.5-06.7,"NGC 6778",19:18:24.95,-01:35:47.2,21.4,15.5
378,034.6+11.8,"NGC 6572",18:12:06.327,06:51:12.920,15.0,13.0
383,036.0+17.6,"Abell 43",17:53:32.3,10:37:23.74,80.0,80.0
385,036.9-02.6,"HaTr 13",19:08:02.1,02:21:24.26,21.0,
386,036.9-01.1,"HaTr 11",19:02:59.35,03:02:21.3,21.0,21.0
387,037.5-05.1,"Abell 58",19:18:20.5,01:46:59.63,44.0,36.0
388,037.7-34.5,"NGC 7009",21:04:10.9,-11:21:48.24,28.0,22.0
391,038.1-25.4,"Abell 70",20:31:33.20,-07:05:18.1,45.2,37.8
400,039.8+02.1,"K 3-17",18:56:18.16,07:07:26.2,18.6,11.9
401,040.3-00.4,"Abell 53",19:06:45.9,06:23:52.48,31.9,31.1
403,041.2-00.6,"HaTr 14",19:09:13.64,07:05:44.0,19.0,17.0
408,042.5-14.5,"NGC 6852",20:00:39.21,01:43:40.9,28.0,26.0
410,043.0-03.0,"M 4-14",19:21:00.7,07:36:52.38,28.0,14.0
411,043.1+37.7,"NGC 6210",16:44:29.5,23:47:59.57,52.0,
414,043.3+02.2,"PM 1-276",19:02:17.8,10:17:33.00,15.0,13.0
416,043.5-13.4,"Abell 67",19:58:27.1,03:02:59.17,74.0,61.0
420,044.3-05.6,"K 3-36",19:32:39.6,07:27:51.55,12.0,8.0
423,045.6+24.3,"K 1-14",17:42:36.5,21:26:59.35,54.0,51.5
425,045.7-04.5,"NGC 6804",19:31:35.14,09:13:31.2,58.3,48.6
427,046.3-03.1,"PB 9",19:27:44.8,10:24:20.81,13.0,11.0
436,048.0-02.3,"PB 10",19:28:14.4,12:19:36.16,11.0,9.0
439,048.7+02.3,"K 3-24",19:12:05.8,15:09:04.46,12.0,8.0
440,048.7-01.5,"DeHt 4",19:26:28.1,13:19:27.26,94.0,
444,049.4+02.4,"Hen 2-428",19:13:05.5,15:46:39.36,40.0,15.0
446,050.4+05.2,"Abell 52",19:04:32.34,17:57:07.7,37.0,37.0
450,051.0-04.5,"PC 22",19:42:03.48,13:50:37.4,20.0,12.0
452,051.3+01.8,"PM 1-295",19:19:18.8,17:11:48.08,20.0,
454,051.5+00.2,"KLW 1",19:25:40.5,16:33:04.97,12.0,
455,051.5+06.1,"K 1-17",19:03:37.4,19:21:22.61,56.0,45.0
463,053.0+01.7,"KLSS 1-1",19:22:54.9,18:42:08.06,19.0,
466,053.3+03.0,"Abell 59",19:18:40.0,19:34:32.99,94.0,80.0
467,053.8-03.0,"Abell 63",19:42:10.3,17:05:14.39,48.0,42.0
468,054.1-12.1,"NGC 6891",20:15:08.8,12:42:15.62,13.5,12.7
474,055.3+06.6,"Abell 54",19:08:39.6,22:58:58.37,67.0,47.0
475,055.4+16.0,"Abell 46",18:31:18.29,26:56:12.9,97.0,84.0
484,058.6+06.1,"Abell 57",19:17:05.7,25:37:33.42,40.0,34.0
486,058.9+09.0,"Si 1-2",19:06:07.2,27:12:58.50,60.0,60.0
489,059.0+04.6,"K 3-34",19:24:02.7,25:18:47.56,12.0,9.6
495,060.0-04.3,"Abell 68",20:00:10.6,21:42:56.02,38.0,
497,060.3-07.3,"Hen 1-5",20:11:56.1,20:20:04.42,32.0,32.0
502,061.0+08.0,"K 3-27",19:14:30.0,28:40:45.48,16.4,16.4
504,061.4-09.5,"NGC 6905",20:22:22.9,20:06:16.81,43.3,35.6
507,062.4+09.5,"NGC 6765",19:11:06.55,30:32:43.7,40.0,28.0
508,062.4-00.2,"M 2-48",19:50:28.5,25:54:30.20,19.4,11.3
509,063.1+13.9,"NGC 6720",18:53:35.1,33:01:45.01,89.0,66.0
511,064.6+48.2,"NGC 6058",16:04:26.5,40:40:59.05,36.0,28.0
514,064.9+15.5,"M 1-64",18:50:02.1,35:14:36.10,17.2,
515,065.1-03.5,"We 1-9",20:09:04.7,26:26:56.00,24.0,
516,065.2-05.6,"Hen 1-6",20:17:21.4,25:21:46.76,40.5,21.5
517,065.4+03.1,"TaWe 2",19:43:48.0,30:14:07.40,17.0,15.0
518,065.9+00.5,"NGC 6842",19:55:02.3,29:17:17.92,55.0,53.0
519,066.7-28.2,"NGC 7094",21:36:53.0,12:47:19.32,102.5,99.0
521,066.9+02.2,"K 4-37",19:51:00.7,31:02:28.75,12.0,
524,068.6+01.1,"Hen 1-4",19:59:18.2,31:54:38.52,22.0,22.0
528,068.8-00.0,"M 1-75",20:04:44.1,31:27:24.41,63.0,23.0
529,069.2+03.8,"K 3-46",19:50:00.2,33:45:51.2,36.2,23.5
532,069.4-02.6,"NGC 6894",20:16:24.0,30:33:53.17,56.4,53.3
533,069.6-03.9,"K 3-58",20:21:58.3,29:59:22.16,20.0,10.0
535,070.8+03.7,"TaWe 4",19:54:17.2,35:07:03.43,13.0,
542,074.5+02.1,"NGC 6881",20:10:52.5,37:24:42.70,16.8,
543,075.6+04.3,"ARO 342",20:04:16.1,39:35:32.89,28.0,28.0
544,075.7+35.8,"Sa 4-1",17:13:50.4,49:16:11.24,15.0,15.0
546,076.3+01.1,"Abell 69",20:19:58.26,38:24:02.8,23.0,21.0
552,078.3-02.7,"K 4-53",20:42:16.3,37:40:29.28,20.0,
553,078.5+18.7,"NGC 6742",18:59:19.8,48:27:55.51,33.0,32.0
554,078.6+05.2,"Dd 1",20:08:43.0,42:30:09.40,20.0,20.0
555,078.9+00.7,"Sd 1",20:29:18.9,40:15:20.59,13.0,12.0
556,079.6+05.8,"M 4-17",20:09:01.9,43:43:43.54,31.0,
563,083.5+12.7,"NGC 6826",19:44:48.2,50:31:30.32,27.0,24.0
564,083.7+05.7,"KLSS 2-5",20:22:16.4,47:03:55.94,16.4,
567,084.2+01.0,"K 4-55",20:45:10.0,44:39:14.58,71.0,30.0
568,084.9-03.4,"NGC 7027",21:07:01.76,42:14:09.7,15.6,12.0
572,086.5+01.8,"IPHASX J205013.6+465515",20:50:13.7,46:55:15.24,77.0,62.0
576,088.7-01.6,"NGC 7048",21:14:15.2,46:17:17.52,63.0,60.0
577,089.0+00.3,"NGC 7026",21:06:18.57,47:51:06.7,39.0,18.0
579,089.8-00.6,"Sh 1-89",21:14:07.55,47:46:21.2,68.0,48.0
582,091.6+01.8,"We 1-11",21:10:52.3,50:47:14.78,27.0,24.0
583,092.1+05.8,"K 3-79",20:53:13.6,53:45:42.16,11.5,
584,093.3-00.9,"K 3-82",21:30:51.5,50:00:08.46,24.0,21.5
585,093.3-02.4,"M 1-79",21:37:01.30,48:56:04.0,46.0,27.0
586,093.4+05.4,"NGC 7008",21:00:32.85,54:32:35.4,99.0,81.5
593,095.2+07.8,"Abell 73",20:56:27.0,57:26:03.05,80.0,67.0
595,096.4+29.9,"NGC 6543",17:58:33.4,66:37:58.80,30.5,18.3
598,097.6-02.4,"M 2-50",21:57:41.8,51:41:39.01,16.0,7.0
605,101.8+08.7,"NGC 7076",21:26:23.5,62:53:31.81,67.0,47.0
607,102.9-02.3,"Abell 79",22:26:17.3,54:49:38.06,59.0,49.0
608,103.2+00.6,"M 2-51",22:16:03.9,57:28:33.74,64.0,48.0
609,103.7+00.4,"M 2-52",22:20:30.7,57:36:21.64,24.0,
611,104.1+07.9,"NGC 7139",21:46:08.6,63:47:29.47,86.0,67.0
612,104.1-01.4,"KLSS 2-6",22:30:06.8,56:11:53.81,17.0,
614,104.4-01.6,"M 2-53",22:32:17.7,56:10:26.11,20.0,15.0
616,106.5-17.6,"NGC 7662",23:25:54.0,42:32:05.03,30.5,28.0
623,107.8+02.3,"NGC 7354",22:40:19.87,61:17:08.7,33.0,31.0
626,110.6-12.9,"K 1-20",23:39:10.8,48:12:29.09,33.0,
629,111.8-02.8,"Hb 12",23:26:14.82,58:10:54.5,10.8,5.0
633,113.6-06.9,"Abell 83",23:46:46.7,54:44:37.68,47.0,42.0
635,116.2+08.5,"M 2-55",23:31:51.4,70:22:14.16,58.0,40.0
636,117.5+18.9,"IC 1454",22:42:24.9,80:26:31.27,34.0,34.0
638,118.7+08.2,"Abell 86",00:01:31.0,70:42:29.92,70.0,70.0
640,119.3+00.3,"BV 5-1",00:19:58.7,62:59:01.68,42.0,10.0
642,120.0+09.8,"NGC 40",00:13:01.0,72:31:19.09,56.0,34.0
646,121.6+03.5,"We 1-1",00:38:54.05,66:23:49.3,22.0,20.0
647,122.1-04.9,"Abell 2",00:45:34.7,57:57:34.88,36.5,30.0
648,123.6+34.5,"IC 3568",12:33:06.8,82:33:50.29,17.8,17.8
649,124.0+02.9,"KLSS 2-7",01:02:24.5,65:46:32.81,20.0,17.0
658,129.6-05.6,"KLSS 2-8",01:40:05.84,56:34:54.6,90.0,75.0
659,130.2+01.3,"IC 1747",01:57:35.8,63:19:18.12,13.0,13.0
661,130.4+03.1,"K 3-92",02:03:41.3,64:57:39.13,18.0,12.0
663,131.4-05.4,"BV 5-3",01:53:02.92,56:24:19.80,24.0,24.0
664,131.5+02.6,"Abell 3",02:12:06.6,64:09:00.94,63.0,57.0
667,135.6+01.0,"WeBo 1",02:40:14.37,61:09:16.7,65.0,20.0
671,138.8+02.8,"IC 289",03:10:19.3,61:19:00.91,46.0,44.0
675,144.3-15.5,"Abell 4",02:45:23.7,42:33:04.93,20.0,20.0
676,144.1+06.1,"NGC 1501",04:06:59.40,60:55:14.2,57.0,50.0
680,147.8+04.1,"M 2-2",04:13:15.0,56:56:58.09,13.0,
682,149.0+04.4,"K 4-47",04:20:45.3,56:18:12.60,12.2,
694,160.7-02.9,"WSLS 1",04:37:21.3,42:47:10.46,27.0,0.0
700,166.1+10.4,"IC 2149",05:56:23.9,46:06:17.32,12.5,8.0
702,167.0-00.9,"Abell 8",05:06:38.42,39:08:08.6,60.0,60.0
704,170.3+15.8,"NGC 2242",06:34:07.4,44:46:38.10,20.0,20.0
706,171.3-25.8,"Ba 1",03:53:36.4,19:29:38.94,54.0,53.0
707,173.5+03.2,"Pu 2",05:42:34.1,36:09:07.42,22.0,22.0
710,174.2-14.6,"H 3-29",04:37:23.4,25:02:38.90,23.8,23.0
711,178.3-02.5,"K 3-68",05:31:35.9,28:58:41.56,12.0,12.0
712,181.5+00.9,"Pu 1",05:52:48.46,28:05:59.2,73.0,57.0
718,189.8+07.7,"M 1-7",06:37:20.94,24:00:35.6,26.0,
721,192.5+07.2,"HaWe 8",06:40:09.69,21:25:01.7,105.0,70.0
722,193.0-04.5,"KLSS 1-5",05:57:07.98,15:25:31.0,72.0,60.0
723,193.6-09.5,"H 3-75",05:40:45.0,12:21:23.26,31.0,30.0
725,196.6-10.9,"NGC 2022",05:42:06.19,09:05:10.5,27.9,25.5
726,197.0+05.8,"KLSS 1-6",06:43:26.1,16:48:51.16,35.0,
727,197.2-14.2,"Abell 10",05:31:45.69,06:56:02.0,37.2,36.0
729,197.8-03.3,"Abell 14",06:11:08.7,11:46:43.36,40.0,25.5
730,197.8+17.3,"NGC 2392",07:29:10.8,20:54:42.44,46.0,44.0
731,198.6-06.3,"Abell 12",06:02:20.0,09:39:14.08,44.1,38.5
733,200.7+08.4,"Abell 19",06:59:56.9,14:36:33.30,75.0,52.0
735,201.9-04.6,"We 1-4",06:14:33.7,07:34:29.86,41.4,37.6
738,204.8-03.5,"K 3-72",06:23:54.9,05:30:12.89,22.9,18.0
741,206.4-40.5,"NGC 1535",04:14:15.8,-12:44:22.02,33.3,32.1
746,210.3+01.9,"M 1-8",06:53:33.8,03:08:26.95,21.0,16.0
748,211.4+18.4,"HaWe 10",07:55:11.3,09:33:09.2,105.0,105.0
751,214.9+07.8,"Abell 20",07:22:57.7,01:45:32.83,67.3,60.5
